product,v_title,v_videoId,v_channelTitle,v_publishTime,v_description,v_thumbnail,c_id,c_parentId,c_author,c_published_at,c_updated_at,c_like_count,c_text
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,Ugyq1EwEu595NlZE1b14AaABAg,,simonfrances4907,2019-07-23T23:38:53Z,2019-07-23T23:38:53Z,34935,"When everyone was greeted at the village, they were all met with “welcome,” however Dani was met with “welcome home.”"
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,Ugz-xAXhmUdi_yC0vDh4AaABAg,,seleenajonas156,2019-05-25T18:21:57Z,2019-05-25T18:21:57Z,33523,Damn Coachella looks different this year
Midsommar (2019) Movie,That Midsommar scene but it&#39;s even more disturbing,SCDLBLPOzj8,Pepe Rico Piqué,2020-04-06T16:50:55Z,I'm shit doing masks. Watch with headphones for an enhanced horror experience. Watch my The Lighthouse Spongebob video ...,https://i.ytimg.com/vi/SCDLBLPOzj8/default.jpg,UgyWbgvgtWp4BXXO6Fl4AaABAg,,coffeoe,2020-12-16T18:47:29Z,2020-12-16T18:47:29Z,28552,THE COLOR FLASHLIGHTS ON HER FACE MADE IT 100 TIMES MORE HILARIOUS
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgzECmkpLe25RAYNxdh4AaABAg,,megamar,2020-02-24T00:19:07Z,2020-02-24T03:10:47Z,28526,Awesome movie. Daylight horror is not an easy thing to achieve.
Midsommar (2019) Movie,That Midsommar scene but it&#39;s even more disturbing,SCDLBLPOzj8,Pepe Rico Piqué,2020-04-06T16:50:55Z,I'm shit doing masks. Watch with headphones for an enhanced horror experience. Watch my The Lighthouse Spongebob video ...,https://i.ytimg.com/vi/SCDLBLPOzj8/default.jpg,UgzhmqYVYYRmAKbtoZ14AaABAg,,taterinx,2020-11-17T21:52:28Z,2022-05-27T04:08:19Z,26370,"As someone who's never seen Midsomer, I'm both curious yet terrified about what actually happens

Update: So many retellings of the actual scene, it sounds more funny/weird than disturbing. But, I'll be sure to check out the movie in its entirety, mixed reviews aside

Update II: welp. That was fucked"
Midsommar (2019) Movie,Midsommar (2019) KILL COUNT,uW9fbnLgkpI,Dead Meat,2021-06-18T13:00:33Z,MERCH: http://deadmeatstore.com Buy Midsommar on... DVD ▻ https://amzn.to/3qin2ny BluRay ▻ https://amzn.to/2SmcMOE ...,https://i.ytimg.com/vi/uW9fbnLgkpI/default.jpg,Ugz_Tg-LT0DQxQ6YhtJ4AaABAg,,thephantom496,2021-06-29T18:04:59Z,2021-06-29T18:04:59Z,25020,"As a Swede, I can confirm that the actual celebration of midsommar is not this weird and creepy."
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,Ugyji0Ux9Tuk1NL5ImF4AaABAg,,Glass-Lemonade,2019-07-21T03:39:46Z,2019-07-21T03:39:46Z,23522,"Don’t you hate it when you go looking for new IKEA furniture, but all you get is sacrificed."
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgyFooHotcQmOvuq3cp4AaABAg,,secondhandembarrassment4564,2021-03-01T13:53:44Z,2021-03-01T13:53:44Z,23291,I’m Swedish and i can confirm we do this everyday.
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,Ugyxwj3ME9PDQN_-OSJ4AaABAg,,xbladter2347,2019-10-25T07:26:15Z,2019-10-25T07:26:15Z,22697,"*Mark pees on tree*
Everyone: so you have chosen death"
Midsommar (2019) Movie,Midsommar (2019) KILL COUNT,uW9fbnLgkpI,Dead Meat,2021-06-18T13:00:33Z,MERCH: http://deadmeatstore.com Buy Midsommar on... DVD ▻ https://amzn.to/3qin2ny BluRay ▻ https://amzn.to/2SmcMOE ...,https://i.ytimg.com/vi/uW9fbnLgkpI/default.jpg,UgzuMt_6Ki7CRiJLnzR4AaABAg,,lils4874,2021-07-06T19:00:12Z,2021-07-06T19:00:12Z,21785,"something i find interesting is when they first arrive, everyone else gets greeted with “welcome” and dani gets greeted with “welcome home” in swedish!"
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgyAe5s4yZreBm066xZ4AaABAg,,siegfriedpintar,2019-05-16T07:40:06Z,2019-05-16T07:40:06Z,21598,As a Swedish person I find this to be an offensive and unrealistic representation of our culture because it always rains during Midsommar.
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgyIPE2fudi_jZyxmBl4AaABAg,,blairassani7595,2020-06-30T04:17:08Z,2020-06-30T04:17:08Z,21444,I’m still mad the old guy completely missed the rock after jumping off the cliff smh he had one job
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,Ugy3ZwQC-x2eTMlqlvJ4AaABAg,,ferdumas,2019-05-14T13:07:11Z,2019-05-14T13:07:11Z,20594,I love how a movie so colorful and bright can be so creepy and scary
Midsommar (2019) Movie,The Horror of MIDSOMMAR Explained,uC_y4CC2VRM,FilmComicsExplained,2020-10-25T14:03:44Z,"Written and Directed by Ari Aster, Midsommar follows a group of friends who travel to Sweden for a festival that occurs once every ...",https://i.ytimg.com/vi/uC_y4CC2VRM/default.jpg,UgwFo4Rs4nH1PM1ldwx4AaABAg,,Kiss_My_Aspergers,2020-10-25T14:22:20Z,2020-10-25T14:22:20Z,19102,This is the greatest movie I never wanna watch again.
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgwTpeNeaVKqVWJ8zUt4AaABAg,,reicse,2019-11-03T14:53:05Z,2019-11-03T14:53:05Z,18440,"“my parents burned up in a fire”
*_they were sacrifices_*"
Midsommar (2019) Movie,That Midsommar scene but it&#39;s even more disturbing,SCDLBLPOzj8,Pepe Rico Piqué,2020-04-06T16:50:55Z,I'm shit doing masks. Watch with headphones for an enhanced horror experience. Watch my The Lighthouse Spongebob video ...,https://i.ytimg.com/vi/SCDLBLPOzj8/default.jpg,UgwmXKryhJUrhyev6pF4AaABAg,,coconoot_,2020-11-14T19:02:43Z,2020-11-14T19:02:43Z,18432,I didn't fully read the title... so I thought this was the original scene and I got scared.
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,Ugyw-9xST-INZusvKxh4AaABAg,,ben10jb78,2020-02-25T14:51:04Z,2020-02-25T14:51:04Z,18349,Coachella looks different this year
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgyIFzd95ocaGDCO-DV4AaABAg,,gemthejewel,2020-09-15T04:37:33Z,2020-09-15T04:37:33Z,18164,midsommar be like: treat your girl right or else the cult will
Midsommar (2019) Movie,Midsommar Deleted Scene (Director&#39;s Cut),TScihXPhQGk,Shelly's Creation,2021-05-17T18:13:35Z,"FlorencePugh #AriAster Film: Midsommar (2019) Director: Ari Aster Cast: Florence Pugh, Jack Reynor NO COPYRIGHT ...",https://i.ytimg.com/vi/TScihXPhQGk/default.jpg,Ugx3-hIKcWxLKA8qeRp4AaABAg,,eben7248,2021-07-11T01:59:09Z,2021-07-11T01:59:09Z,16807,"Someone else said this scene adds too much specificity to their relationship, and I 100% agree. Additionally, I think it adds too much specificity to the nature of the cult. After this scene it's pretty clear that the cult is actually evil, whereas in the theatrical cut that realisation doesn't reallllly occur until it's already too late to leave."
